esp_abeast_id,serial_port,chip,threshold,dac,hits_per_s,count0,count1,dt_s,mu_est,sigma_est,r2_est
2,COM6,1,0,176,8.594749058613134,0,86,10.006109476089478,212,20,-14.047639838441414
2,COM6,1,0,175,9.594118367062276,0,96,10.006130456924438,211,20,-14.274340507896497
2,COM6,1,0,174,11.092770386426846,0,111,10.00651741027832,211,20,-14.55189440286895
2,COM6,1,0,173,9.993639226131897,0,100,10.006364822387695,210,21,-14.78999140622727
2,COM6,1,0,172,9.094291653243186,0,91,10.006276845932007,210,21,-14.990085499950673
2,COM6,1,0,171,9.093955798011276,0,91,10.006646394729614,209,21,-15.191025792930745
2,COM6,1,0,170,8.994278303773372,0,90,10.006361484527588,209,22,-15.388256194487976
2,COM6,1,0,169,9.293899354052169,0,93,10.006564140319824,208,22,-15.599824508548664
2,COM6,1,0,168,7.7951669379181725,0,78,10.006200075149536,208,22,-15.736516061696591
2,COM6,1,0,167,10.792868834161732,0,108,10.006607294082642,207,23,-16.005312438442434
2,COM6,1,0,166,9.694826102555284,0,97,10.00533676147461,207,23,-16.23398463742696
2,COM6,1,0,165,9.693679919932116,0,97,10.006519794464111,206,23,-16.462089223068926
2,COM6,1,0,164,8.694607205237288,0,87,10.006202459335327,206,23,-16.645898137822083
2,COM6,1,0,163,9.494636620868247,0,95,10.005648851394653,205,24,-16.866979275044923
2,COM6,1,0,162,8.795319358744466,0,88,10.005321741104126,205,24,-17.056964120207354
2,COM6,1,0,161,8.895142594671526,0,89,10.005460739135742,205,24,-17.252848595585586
2,COM6,1,0,160,7.196208452925653,0,72,10.005268812179565,204,25,-17.355277167793908
2,COM6,1,0,159,8.394782562450457,0,84,10.00621509552002,204,25,-17.53123443377647
2,COM6,1,0,158,8.695237660419103,0,87,10.005476951599121,203,25,-17.724012485977966
2,COM6,1,0,157,7.995885486687203,0,80,10.005145788192749,203,25,-17.88117830507549
2,COM6,1,0,156,6.995450451435703,0,70,10.006503582000732,202,26,-17.979134629257896
2,COM6,1,0,155,9.19477597447701,0,92,10.00568151473999,202,26,-18.20205321573157
2,COM6,1,0,154,7.495731638563742,0,75,10.005694389343262,202,26,-18.335864802384393
2,COM6,1,0,153,8.094853173627037,0,81,10.00635814666748,201,26,-18.507492502505407
2,COM6,1,0,152,8.695096975837338,0,87,10.005638837814331,201,27,-18.712062780187953
2,COM6,1,0,151,8.294736566216711,0,83,10.006345510482788,200,27,-18.89702574258133
2,COM6,1,0,150,8.094779303671274,0,81,10.006449460983276,200,27,-19.072528190361112
2,COM6,1,0,149,5.796549962204541,0,58,10.005951881408691,200,27,-19.093683464487334
2,COM6,1,0,148,9.094721150722162,0,91,10.005804300308228,199,28,-19.32535149219595
2,COM6,1,0,147,9.294222222561096,0,93,10.006216526031494,199,28,-19.565361269045592
2,COM6,1,0,146,7.196207767003201,0,72,10.005269765853882,198,28,-19.692745498155315
2,COM6,1,0,145,7.3955095900838215,0,74,10.00607180595398,198,29,-19.835726774137683
2,COM6,1,0,144,5.897033419486257,0,59,10.005030632019043,197,29,-19.874189183137695
2,COM6,1,0,143,6.896281637925108,0,69,10.005391836166382,197,29,-19.991488522004794
2,COM6,1,0,142,7.69492857669245,0,77,10.006590604782104,197,29,-20.16273878463905
2,COM6,1,0,141,6.795557770658591,0,68,10.006536960601807,196,30,-20.277738543261833
2,COM6,1,0,140,6.7964833907474045,0,68,10.005174160003662,196,30,-20.395810753656498
2,COM6,1,0,139,5.196648937134679,0,52,10.00644850730896,196,30,-20.391472248516518
2,COM6,1,0,138,6.995531456976049,0,70,10.006387710571289,195,30,-20.53122532892535
2,COM6,1,0,137,7.495523920354054,0,75,10.005971670150757,195,31,-20.705292070595586
2,COM6,1,0,136,5.496359482698706,0,55,10.00662350654602,195,31,-20.736148655219214
2,COM6,1,0,135,7.0962734575468085,0,71,10.005251407623291,194,31,-20.890864883088554
2,COM6,1,0,134,5.79700647918385,0,58,10.00516390800476,194,31,-20.953065656628098
2,COM6,1,0,133,5.4964300692571,0,55,10.006494998931885,193,32,-20.99478998045176
2,COM6,1,0,132,6.596180028607967,0,66,10.005791187286377,193,32,-21.125391797207268
2,COM6,1,0,131,5.596383695904968,0,56,10.00646185874939,193,32,-21.182273926269193
2,COM6,1,0,130,6.0960644428019,0,61,10.006455898284912,192,32,-21.282538239682797
2,COM6,1,0,129,5.796229959737501,0,58,10.00650429725647,192,33,-21.362586973403783
