chip,threshold,dac,hits_per_s,count0,count1,dt_s,mu_est,sigma_est,r2_est
1,1,238,44525.775531647814,5832085,6277804,10.010359048843384,246,5,-0.8395914914966525
1,1,237,33325.65813917041,6279467,6613053,10.00988483428955,246,5,-0.31895519914060255
1,1,236,16967.751589889984,6614167,6784018,10.010224342346191,246,5,0.05516793096755379
1,1,235,11193.099631597996,6784652,6896696,10.010095834732056,246,5,0.27826217815240695
1,1,234,5427.421290315158,6897062,6951388,10.009541749954224,246,5,0.41970172994332966
1,1,233,3379.3617323242333,6951584,6985411,10.009878396987915,246,5,0.5123521829475985
1,1,232,1408.9249349655101,6985500,6999604,10.010469436645508,246,5,0.5762460091101205
1,1,231,769.0136607674838,6999661,7007359,10.010225296020508,245,5,0.6223752167566732
1,1,230,306.7646020145611,7007397,7010468,10.01093339920044,245,5,0.6569139968046925
1,1,229,182.61454690395894,7010505,7012333,10.010155439376831,245,5,0.6837496093708155
1,1,228,67.02998159924013,7012362,7013033,10.010445833206177,245,5,0.7051144428003375
1,1,227,35.26010281516302,7013052,7013405,10.011315107345581,245,5,0.7225540262750294
1,1,226,11.68796678110262,7013420,7013537,10.010295391082764,245,5,0.7370468508256312
1,1,225,6.693739716342617,7013560,7013627,10.009352445602417,245,5,0.7492947972312831
1,1,224,2.9969002122424193,7013639,7013669,10.010343313217163,245,5,0.7597805092781122
1,1,223,2.097979403115076,7013680,7013701,10.009631156921387,245,5,0.768861526890052
1,1,222,0.6992951036051435,7013711,7013718,10.010080099105835,245,5,0.776800628289383
1,1,221,1.0988916513343323,7013728,7013739,10.010086059570312,245,5,0.7838034971127715
1,1,220,0.5993936188212913,7013747,7013753,10.010116577148438,245,5,0.7900247148061733
1,1,219,0.4994825954483261,7013759,7013764,10.010358810424805,245,5,0.7955888720719987
1,1,218,0.2996913702715038,7013770,7013773,10.010298252105713,245,5,0.8005945031139294
1,1,217,0.3995759790598875,7013778,7013782,10.010611772537231,245,5,0.8051223983216054
1,1,216,0.5993840110827036,7013788,7013794,10.010277032852173,245,5,0.8092382670545916
1,1,215,0.29971355634642355,7013801,7013804,10.009557247161865,245,5,0.8129945148149357
1,1,214,0.49949652636896846,7013808,7013813,10.010079622268677,245,5,0.8164377213058055
1,1,213,0.6992925053247582,7013818,7013825,10.010117292404175,245,5,0.8196056841271642
1,1,212,0.2996966095437711,7013829,7013832,10.010123252868652,245,5,0.8225281578396784
1,1,211,0.2997014278373198,7013836,7013839,10.009962320327759,245,5,0.8252337691409469
1,1,210,0.1997814804320864,7013841,7013843,10.010937929153442,245,5,0.8277454070208278
1,1,209,0.09990437362461312,7013848,7013849,10.00957179069519,245,5,0.8300831162131921
1,1,208,0.299694396749759,7013850,7013853,10.010197162628174,245,5,0.8322655695350599
1,1,207,0.19979655001994726,7013854,7013856,10.010182857513428,245,5,0.8343066044813725
1,1,206,0.0,7013861,7013861,10.009973049163818,245,5,0.8343066044813725
1,1,205,0.0,7013862,7013862,10.009825944900513,245,5,0.8343066044813725
1,2,255,70365.64921776038,15454649,16159012,10.010040521621704,,,
1,2,254,75461.09334329392,16162426,140608,10.010430097579956,,,
1,2,253,75588.0968807445,144433,901104,10.010451793670654,,,
1,2,252,72933.79568916457,904724,1634781,10.009858846664429,,,
1,2,251,69572.1915654695,1637976,2334370,10.009660243988037,253,1,-132.97839957428377
1,2,250,67821.19509398888,2337510,3016387,10.009805917739868,253,2,-92.0178022404381
1,2,249,68178.66675856977,3019561,3702050,10.010301351547241,252,2,-85.9915800465302
1,2,248,70784.64758540814,3705316,4413827,10.009387969970703,252,2,-100.90215913684852
1,2,247,75589.49721081076,4417804,5174448,10.00990915298462,251,3,-97.32110670256868
1,2,246,82537.2628628641,5178591,6004767,10.009733438491821,250,3,-46.23933883301866
1,2,245,91055.40807189968,6008896,6920379,10.010201692581177,250,3,-20.0057548433424
1,2,244,102510.08624000108,6924992,7951184,10.01064419746399,249,4,-9.8149003119993
1,2,243,116742.98177727374,7956557,9125156,10.01001501083374,249,4,-5.860843908081394
1,2,242,126877.89935093997,9131172,10401193,10.009788990020752,248,4,-4.1272038448785064
1,2,241,130058.15668434052,10406975,11708864,10.010052680969238,247,4,-3.0572873023609084
1,2,240,123938.89901709907,11714599,12955222,10.00995659828186,246,5,-2.4817599997113104
1,2,239,126825.29298086908,12961220,14230783,10.010329723358154,246,5,-2.048490701683023
1,2,238,112954.34216681747,14236117,15366795,10.010044574737549,245,5,-1.817465108680513
1,2,237,92917.00725042495,15371441,16301632,10.010987520217896,245,5,-1.5968107389573638
1,2,236,70414.27894218433,16305007,232599,10.00944709777832,245,6,-1.2237603486371107
1,2,235,44372.56917026283,234823,679029,10.01082444190979,244,6,-0.6666242283634631
1,2,234,27303.00949773474,680356,953648,10.009592533111572,244,6,-0.19480986742574946
1,2,233,16807.63604990114,954527,1122760,10.009319543838501,244,6,0.11725281287089095
1,2,232,8910.818488235585,1123436,1212630,10.00963044166565,244,6,0.31571683226838765
1,2,231,4341.851736093719,1212922,1256385,10.010245084762573,244,6,0.4426654811271713
1,2,230,2089.787594112692,1256556,1277475,10.010108232498169,244,6,0.5273199606091798
1,2,229,1130.4591922228524,1277554,1288870,10.010091543197632,244,6,0.5867360395786527
1,2,228,528.2731757546552,1288909,1294197,10.00997257232666,244,6,0.6302804237417965
