source,analysis_mode,chip,threshold,dac,hits_per_s,mu_user_dac,target_hits_requested,target_dac_for_hits,target_hits_found,n_sigma_from_mu,sigma_ref
noise_scan_raw,gaussian,1,2,253,75588.0968807445,240,2.0,220,1.3986523690654982,3.3333333333333335,6.0
noise_scan_raw,gaussian,1,2,252,72933.79568916457,240,2.0,220,1.3986523690654982,3.3333333333333335,6.0
noise_scan_raw,gaussian,1,2,251,69572.1915654695,240,2.0,220,1.3986523690654982,3.3333333333333335,6.0
noise_scan_raw,gaussian,1,2,250,67821.19509398888,240,2.0,220,1.3986523690654982,3.3333333333333335,6.0
noise_scan_raw,gaussian,1,2,249,68178.66675856977,240,2.0,220,1.3986523690654982,3.3333333333333335,6.0
noise_scan_raw,gaussian,1,2,248,70784.64758540814,240,2.0,220,1.3986523690654982,3.3333333333333335,6.0
noise_scan_raw,gaussian,1,2,247,75589.49721081076,240,2.0,220,1.3986523690654982,3.3333333333333335,6.0
noise_scan_raw,gaussian,1,2,246,82537.2628628641,240,2.0,220,1.3986523690654982,3.3333333333333335,6.0
noise_scan_raw,gaussian,1,2,245,91055.40807189968,240,2.0,220,1.3986523690654982,3.3333333333333335,6.0
noise_scan_raw,gaussian,1,2,244,102510.08624000108,240,2.0,220,1.3986523690654982,3.3333333333333335,6.0
noise_scan_raw,gaussian,1,2,243,116742.98177727374,240,2.0,220,1.3986523690654982,3.3333333333333335,6.0
noise_scan_raw,gaussian,1,2,242,126877.89935093997,240,2.0,220,1.3986523690654982,3.3333333333333335,6.0
noise_scan_raw,gaussian,1,2,241,130058.15668434052,240,2.0,220,1.3986523690654982,3.3333333333333335,6.0
noise_scan_raw,gaussian,1,2,240,123938.89901709907,240,2.0,220,1.3986523690654982,3.3333333333333335,6.0
noise_scan_raw,gaussian,1,2,239,126825.29298086908,240,2.0,220,1.3986523690654982,3.3333333333333335,6.0
noise_scan_raw,gaussian,1,2,238,112954.34216681747,240,2.0,220,1.3986523690654982,3.3333333333333335,6.0
noise_scan_raw,gaussian,1,2,237,92917.00725042495,240,2.0,220,1.3986523690654982,3.3333333333333335,6.0
noise_scan_raw,gaussian,1,2,236,70414.27894218433,240,2.0,220,1.3986523690654982,3.3333333333333335,6.0
noise_scan_raw,gaussian,1,2,235,44372.56917026283,240,2.0,220,1.3986523690654982,3.3333333333333335,6.0
noise_scan_raw,gaussian,1,2,234,27303.00949773474,240,2.0,220,1.3986523690654982,3.3333333333333335,6.0
noise_scan_raw,gaussian,1,2,233,16807.63604990114,240,2.0,220,1.3986523690654982,3.3333333333333335,6.0
noise_scan_raw,gaussian,1,2,232,8910.818488235585,240,2.0,220,1.3986523690654982,3.3333333333333335,6.0
noise_scan_raw,gaussian,1,2,231,4341.851736093719,240,2.0,220,1.3986523690654982,3.3333333333333335,6.0
noise_scan_raw,gaussian,1,2,230,2089.787594112692,240,2.0,220,1.3986523690654982,3.3333333333333335,6.0
noise_scan_raw,gaussian,1,2,229,1130.4591922228524,240,2.0,220,1.3986523690654982,3.3333333333333335,6.0
noise_scan_raw,gaussian,1,2,228,528.2731757546552,240,2.0,220,1.3986523690654982,3.3333333333333335,6.0
noise_scan_raw,gaussian,1,2,227,191.30345154672852,240,2.0,220,1.3986523690654982,3.3333333333333335,6.0
noise_scan_raw,gaussian,1,2,226,75.92346839141558,240,2.0,220,1.3986523690654982,3.3333333333333335,6.0
noise_scan_raw,gaussian,1,2,225,37.56054011250693,240,2.0,220,1.3986523690654982,3.3333333333333335,6.0
noise_scan_raw,gaussian,1,2,224,15.184665106663989,240,2.0,220,1.3986523690654982,3.3333333333333335,6.0
noise_scan_raw,gaussian,1,2,223,9.689876730240764,240,2.0,220,1.3986523690654982,3.3333333333333335,6.0
noise_scan_raw,gaussian,1,2,222,4.395518656521078,240,2.0,220,1.3986523690654982,3.3333333333333335,6.0
noise_scan_raw,gaussian,1,2,221,2.597427655459583,240,2.0,220,1.3986523690654982,3.3333333333333335,6.0
noise_scan_raw,gaussian,1,2,220,1.3986523690654982,240,2.0,220,1.3986523690654982,3.3333333333333335,6.0
noise_scan_raw,gaussian,1,2,219,0.79921439146648,240,2.0,220,1.3986523690654982,3.3333333333333335,6.0
noise_scan_raw,gaussian,1,2,218,0.49948541488021875,240,2.0,220,1.3986523690654982,3.3333333333333335,6.0
noise_scan_raw,gaussian,1,2,217,0.8990794856464358,240,2.0,220,1.3986523690654982,3.3333333333333335,6.0
noise_scan_raw,gaussian,1,2,216,0.29971416315459376,240,2.0,220,1.3986523690654982,3.3333333333333335,6.0
