source_file;airgap_mm;energy_eV;energy_std_eV;sensor;chip;threshold;threshold_dac;fit_dac;fit_r2;points;status
tribeast1_IC2_dual_scan_long_20260604_173206.csv;40.0;165470.33;51834.72;Capteur 2;2;0;252;225.0000;0.765665;231;Manuel depuis fit 225.00
tribeast1_IC2_dual_scan_long_20260604_173206.csv;40.0;165470.33;51834.72;Capteur 2;2;1;252;225.0000;0.755213;231;Manuel depuis fit 225.00
tribeast1_IC2_dual_scan_long_20260604_173206.csv;40.0;165470.33;51834.72;Capteur 2;2;2;252;225.0000;-1.222513;231;Manuel depuis fit 225.00
tribeast1_IC3_dual_scan_long_20260608_111824.csv;30.0;2127167.82;56023.28;Capteur 2;3;0;100;117.0000;0.912747;200;Manuel depuis fit 117.00
tribeast1_IC3_dual_scan_long_20260608_111824.csv;30.0;2127167.82;56023.28;Capteur 2;3;1;96;144.0000;0.858703;194;Manuel depuis fit 144.00
tribeast1_IC3_dual_scan_long_20260608_111824.csv;30.0;2127167.82;56023.28;Capteur 2;3;2;100;117.0000;0.932223;199;Manuel depuis fit 117.00
tribeast1_IC3_dual_scan_long_20260608_111824.csv;31.0;1966669.19;55633.82;Capteur 2;3;0;113;135.0000;0.929939;190;Manuel depuis fit 135.00
tribeast1_IC3_dual_scan_long_20260608_111824.csv;31.0;1966669.19;55633.82;Capteur 2;3;1;113;153.0000;0.876095;179;Manuel depuis fit 153.00
tribeast1_IC3_dual_scan_long_20260608_111824.csv;31.0;1966669.19;55633.82;Capteur 2;3;2;112;126.0000;0.943766;175;Manuel depuis fit 126.00
tribeast1_IC3_dual_scan_long_20260608_111824.csv;32.0;1800364.82;60969.95;Capteur 2;3;0;131;144.0000;0.957031;160;Manuel depuis fit 144.00
tribeast1_IC3_dual_scan_long_20260608_111824.csv;32.0;1800364.82;60969.95;Capteur 2;3;1;127;180.0000;0.889629;168;Manuel depuis fit 180.00
tribeast1_IC3_dual_scan_long_20260608_111824.csv;32.0;1800364.82;60969.95;Capteur 2;3;2;131;144.0000;0.963043;166;Manuel depuis fit 144.00
tribeast1_IC3_dual_scan_long_20260608_111824.csv;33.0;1619899.16;65845.74;Capteur 2;3;0;150;162.0000;0.960921;152;Manuel depuis fit 162.00
tribeast1_IC3_dual_scan_long_20260608_111824.csv;33.0;1619899.16;65845.74;Capteur 2;3;1;147;180.0000;0.909549;157;Manuel depuis fit 180.00
tribeast1_IC3_dual_scan_long_20260608_111824.csv;33.0;1619899.16;65845.74;Capteur 2;3;2;147;162.0000;0.957512;147;Manuel depuis fit 162.00
tribeast1_IC3_dual_scan_long_20260608_111824.csv;34.0;1431287.73;64278.85;Capteur 2;3;0;164;171.0000;0.976374;134;Manuel depuis fit 171.00
