adc;energy_eV;energy_MeV;fit_a_eV_per_ADC;fit_b_eV
4162.407849;1350468.412828;1.350468413;301.805063948065;94232.645876
4174.979925;1354262.729146;1.354262729;301.805063948065;94232.645876
4187.552001;1358057.045465;1.358057045;301.805063948065;94232.645876
4200.124078;1361851.361783;1.361851362;301.805063948065;94232.645876
4212.696154;1365645.678102;1.365645678;301.805063948065;94232.645876
4225.268231;1369439.994420;1.369439994;301.805063948065;94232.645876
4237.840307;1373234.310738;1.373234311;301.805063948065;94232.645876
4250.412383;1377028.627057;1.377028627;301.805063948065;94232.645876
4262.984460;1380822.943375;1.380822943;301.805063948065;94232.645876
4275.556536;1384617.259693;1.384617260;301.805063948065;94232.645876
4288.128613;1388411.576012;1.388411576;301.805063948065;94232.645876
4300.700689;1392205.892330;1.392205892;301.805063948065;94232.645876
4313.272765;1396000.208649;1.396000209;301.805063948065;94232.645876
4325.844842;1399794.524967;1.399794525;301.805063948065;94232.645876
4338.416918;1403588.841285;1.403588841;301.805063948065;94232.645876
4350.988995;1407383.157604;1.407383158;301.805063948065;94232.645876
4363.561071;1411177.473922;1.411177474;301.805063948065;94232.645876
4376.133147;1414971.790241;1.414971790;301.805063948065;94232.645876
4388.705224;1418766.106559;1.418766107;301.805063948065;94232.645876
4401.277300;1422560.422877;1.422560423;301.805063948065;94232.645876
4413.849376;1426354.739196;1.426354739;301.805063948065;94232.645876
4426.421453;1430149.055514;1.430149056;301.805063948065;94232.645876
4438.993529;1433943.371833;1.433943372;301.805063948065;94232.645876
4451.565606;1437737.688151;1.437737688;301.805063948065;94232.645876
4464.137682;1441532.004469;1.441532004;301.805063948065;94232.645876
4476.709758;1445326.320788;1.445326321;301.805063948065;94232.645876
4489.281835;1449120.637106;1.449120637;301.805063948065;94232.645876
4501.853911;1452914.953425;1.452914953;301.805063948065;94232.645876
4514.425988;1456709.269743;1.456709270;301.805063948065;94232.645876
4526.998064;1460503.586061;1.460503586;301.805063948065;94232.645876
4539.570140;1464297.902380;1.464297902;301.805063948065;94232.645876
4552.142217;1468092.218698;1.468092219;301.805063948065;94232.645876
4564.714293;1471886.535017;1.471886535;301.805063948065;94232.645876
4577.286370;1475680.851335;1.475680851;301.805063948065;94232.645876
4589.858446;1479475.167653;1.479475168;301.805063948065;94232.645876
4602.430522;1483269.483972;1.483269484;301.805063948065;94232.645876
4615.002599;1487063.800290;1.487063800;301.805063948065;94232.645876
4627.574675;1490858.116609;1.490858117;301.805063948065;94232.645876
4640.146751;1494652.432927;1.494652433;301.805063948065;94232.645876
4652.718828;1498446.749245;1.498446749;301.805063948065;94232.645876
4665.290904;1502241.065564;1.502241066;301.805063948065;94232.645876
4677.862981;1506035.381882;1.506035382;301.805063948065;94232.645876
4690.435057;1509829.698200;1.509829698;301.805063948065;94232.645876
4703.007133;1513624.014519;1.513624015;301.805063948065;94232.645876
4715.579210;1517418.330837;1.517418331;301.805063948065;94232.645876
4728.151286;1521212.647156;1.521212647;301.805063948065;94232.645876
4740.723363;1525006.963474;1.525006963;301.805063948065;94232.645876
4753.295439;1528801.279792;1.528801280;301.805063948065;94232.645876
4765.867515;1532595.596111;1.532595596;301.805063948065;94232.645876
4778.439592;1536389.912429;1.536389912;301.805063948065;94232.645876
4791.011668;1540184.228748;1.540184229;301.805063948065;94232.645876
4803.583745;1543978.545066;1.543978545;301.805063948065;94232.645876
4816.155821;1547772.861384;1.547772861;301.805063948065;94232.645876
4828.727897;1551567.177703;1.551567178;301.805063948065;94232.645876
4841.299974;1555361.494021;1.555361494;301.805063948065;94232.645876
4853.872050;1559155.810340;1.559155810;301.805063948065;94232.645876
4866.444126;1562950.126658;1.562950127;301.805063948065;94232.645876
4879.016203;1566744.442976;1.566744443;301.805063948065;94232.645876
4891.588279;1570538.759295;1.570538759;301.805063948065;94232.645876
